sample_id	n_hom_ref	n_het	n_hom_alt	missing
AFC09022_L3I4	532235	3103	1415	82600
AFC09027_L3I4	597069	3535	1448	17301
AFC09028_L3I4	589234	3653	1435	25031
AFC09038_L3I4	522386	3298	931	92738
AFC09040_L3I4	602458	3797	1436	11662
AFC09042_L3I4	535877	3262	1355	78859
AFC09046_L3I4	585313	3585	1451	29004
AFC09050_L3I4	551849	3498	1131	62875
AFC09131_L3I4	470028	4382	973	143970
AFC09136_L3I4	587547	3636	1405	26765
AFC09192_L3I4	551894	3390	1325	62744
AFC09250_L3I4	509874	3138	1240	105101
AFC09269_L4I3	379954	2382	406	236611
AFC09282_L4I3	513974	3198	972	101209
AFS03068_L3I4	522409	3309	1039	92596
BOU15001_L1I4	349952	6047	25453	237901
BOU15002_L1I4	476369	8339	35290	99355
BOU15003_L1I4	244891	3900	17883	352679
BOU15004_L1I4	427869	7576	31293	152615
BOU15005_L1I4	507988	9130	37192	65043
BOU15006_L1I4	397056	2013	890	219394
BOU15007_L1I4	535670	3074	1108	79501
BOU15009_L1I4	195539	966	457	422391
BOU15010_L1I4	605727	3604	1365	8657
BOU15011_L1I4	298262	1559	641	318891
BOU15012_L1I4	584082	3460	1234	30577
BOU15013_L1I4	568183	3324	998	46848
BOU15014_L1I4	602556	3527	1357	11913
BOU15015_L1I4	587713	3573	1158	26909
BOU15016_L1I4	487628	2822	1073	127830
BOU15017_L1I4	560080	33004	1491	24778
BOU15018_L4I3	107653	370	205	511125
BOU15019_L4I3	589044	3473	1267	25569
BOU15020_L4I3	596808	3632	1249	17664
BOU15021_L4I3	447626	2651	654	168422
BOU15022_L4I3	558706	3415	1088	56144
BOU15023_L4I3	608514	3695	1364	5780
BOU15024_L4I3	220462	995	372	397524
BOU15025_L4I3	478917	2851	720	136865
BOU15027_L4I3	498291	8718	35275	77069
BOU15028_L4I3	583437	3568	1166	31182
BOU15029_L4I3	180893	1366	113	436981
BOU15030_L4I3	493616	8405	33207	84125
BOU15031_L4I3	502663	23140	17887	75663
BOU15032_L4I3	407929	2127	822	208475
JAV11001_L5I2	394436	2969	856	221092
JAV11002_L5I2	393674	2749	977	221953
JAV11003_L5I2	261535	1919	331	355568
JAV11004_L5I2	366123	2252	853	250125
JAV11005_L5I2	404793	3073	887	210600
JAV11006_L5I2	384827	2892	810	230824
JAV11007_L5I2	371378	16103	22012	209860
JAV11008_L5I2	481243	3558	1265	133287
JAV11009_L5I2	237929	1863	356	379205
JAV11010_L5I2	392475	10338	19783	196757
JAV11011_L5I2	314666	2041	729	301917
JAV11012_L5I2	420631	2878	1064	194780
JAV11013_L5I2	493625	3630	1242	120856
JAV11014_L5I2	337421	2043	753	279136
JAV11015_L5I2	224792	9053	10381	375127
JAV11016_L5I2	299367	12717	16516	290753
JAV11017_L5I2	377459	2838	762	238294
JAV11018_L5I2	384474	2624	996	231259
JAV11019_L5I2	160297	1186	156	457714
JAV11021_L5I2	444065	3261	1027	171000
JAV11022_L5I2	259578	10789	17902	331084
JAV11023_L5I2	404579	9504	20143	185127
JAV11024_L5I2	448584	3318	1112	166339
JAV11025_L4I1	396544	2715	520	219574
JAV11027_L4I1	369519	2600	445	246789
JAV11028_L4I1	357615	2510	448	258780
JAV11030_L4I1	285432	2013	330	331578
MAY03001_L1I4	599397	3713	1323	14920
MAY03003_L1I4	606951	3719	1475	7208
MAY03005_L2I4	524244	3321	1147	90641
MAY03006_L2I4	432653	2612	846	183242
MAY03007_L2I4	359004	2182	633	257534
MAY03009_L3I4	559727	3570	1359	54697
MAY03013_L4I4	511195	3236	1159	103763
MAY03017_L4I4	596404	3716	1437	17796
MAY03018_L4I4	539278	3384	1168	75523
MAY03019_L4I4	531057	3319	1251	83726
MAY03020_L4I4	406583	2448	742	209580
MAY03021_L4I4	582966	3679	1351	31357
MAY03022_L4I4	582042	3676	1351	32284
MAY03023_L4I4	568548	3591	1360	45854
MAY03024_L4I4	578240	3605	1402	36106
MAY03025_L4I4	570037	3579	1401	44336
MAY03027_L4I4	535202	3446	1236	79469
MAY03028_L4I4	530046	3153	1190	84964
NCA16001_L1I3	379949	2360	611	236433
NCA16002_L1I3	530718	3242	1197	84196
NCA16003_L3I2	80761	383	25	538184
NCA16004_L3I2	334866	2212	345	281930
NCA16005_L1I3	541997	3304	1213	72839
NCA16006_L3I2	511684	2960	1204	103505
NCA16007_L3I2	553437	3226	1172	61518
NCA16008_L1I3	520246	3303	1161	94643
NCA16009_L3I2	584258	3416	1382	30297
NCA16010_L3I2	583609	3640	1319	30785
NCA16011_L3I2	567788	3510	1324	46731
NCA16014_L3I2	524170	3198	1175	90810
NCA16015_L2I1	366016	5084	23392	224861
NCA16018_L3I2	458995	2463	1159	156736
NCA16020_L3I2	487485	2696	1085	128087
NCA16021_L3I2	563640	3669	1241	50803
NCA16022_L1I3	522758	3148	1156	92291
NCA16023_L1I3	472086	2762	1073	143432
NCA16024_L3I2	441103	2388	779	175083
NCA16025_L1I3	257891	1609	476	359377
NCA16027_L2I1	460138	2502	974	155739
NCA16028_L1I3	537927	3189	1268	76969
NCA16030_L1I3	553579	3307	1258	61209
NCA16031_L2I1	546261	3183	1100	68809
NCA16034_L1I3	399280	2469	658	216946
NCA16035_L1I3	561336	3362	1310	53345
NCA16036_L1I3	465883	2890	871	149709
NCA16039_L1I3	470404	2777	936	145236
NCA16041_L1I3	556885	3297	1255	57916
NCA16042_L1I3	556046	3237	1310	58760
NCA16043_L1I3	534058	3265	1121	80909
NCA16044_L1I3	511565	2990	1209	103589
NCA16045_L1I3	561867	3450	1281	52755
NCA16046_L1I3	558059	3334	1313	56647
NCA16049_L1I3	564073	3441	1336	50503
NCA16053_L1I3	554204	3269	1248	60632
NCA16056_L1I3	446750	2606	1032	168965
NCA16063_L1I3	214936	1370	360	402687
NCA16064_L1I3	539984	3141	1290	74938
NCA16084_L3I2	475713	2813	1018	139809
NCA16099_L2I1	479022	2621	1144	136566
NCA16110_L2I1	547403	3158	1246	67546
NCA16116_L2I1	564959	3359	1239	49796
NCA16117_L2I1	580697	3421	1368	33867
NCA16120_L2I1	483475	2677	1148	132053
PHC08C01_L5I3	523868	16364	15638	63483
PHC08C02_L5I3	406785	12303	11005	189260
PHC08C03_L5I3	450993	13804	13462	141094
PHC08C04_L5I3	457169	14015	14157	134012
PHC08C05_L5I3	368235	10742	10904	229472
PHC08C06_L5I3	405507	12311	13013	188522
PHC08C07_L5I3	481730	15128	14824	107671
PHC08C09_L5I3	463153	14348	13288	128564
PHC08C10_L5I3	493511	9016	3085	113741
PHC08C11_L5I3	330630	9572	10180	268971
PHC08C12_L5I3	449536	13944	13264	142609
PHC08C13_L5I3	517135	16577	15238	70403
PHC08C15_L5I3	437811	13377	12329	155836
PHC08C16_L5I3	496734	15418	13905	93296
PHC08C18_L5I3	506421	15632	15144	82156
PHC08C20_L5I3	561429	10308	3385	44231
PHC08C22_L5I3	513449	16182	15853	73869
PHC08C24_L5I3	155145	3939	2718	457551
PHC08C25_L5I3	456229	8137	2184	152803
PHC08C26_L5I3	431343	13250	13484	161276
PHC08C27_L4I1	526290	16278	14532	62253
PHC08C28_L4I1	351884	10170	7451	249848
PHC08C29_L4I1	345515	10043	7592	256203
PHC08P20_L3I2	580322	10774	3591	24666
PHC08P22_L3I2	561491	10060	3544	44258
PHC08P23_L3I2	511879	9289	3289	94896
PHP14P01_L5I4	575000	10722	3686	29945
PHP14P02_L5I4	542995	9879	3534	62945
PHP14P03_L5I4	487292	8604	3164	120293
PHP14P04_L5I4	577671	10602	3560	27520
PHP14P05_L5I4	495685	8875	3249	111544
PHP14P06_L5I4	530057	9669	3003	76624
PHP14P07_L5I4	581799	10607	3624	23323
PHP14P08_L5I4	545486	10116	3284	60467
PHP14P09_L5I4	585044	11016	3736	19557
PHP14P10_L5I4	583277	10872	3748	21456
PHP14P11_L5I4	484310	8555	3290	123198
PHP14P12_L5I4	580606	10691	3594	24462
PHP14P13_L5I4	578152	10687	3574	26940
PHP14P14_L5I4	557246	10391	3573	48143
PHP14P15_L5I4	484510	8731	2429	123683
PHP14P16_L5I4	207854	3244	349	407906
PHP14P17_L5I4	565126	10339	3657	40231
PHP14P18_L5I4	587826	10916	3604	17007
PHP14P19_L5I4	543770	9754	3369	62460
PHP14P21_L5I4	463577	8290	2469	145017
PHP14P24_L4I1	582782	10742	3609	22220
PHP14P25_L4I1	585162	10779	3549	19863
PHP14P26_L4I1	536261	10016	3515	69561
PHP14P27_L4I1	528674	9951	3491	77237
PHP14P28_L4I1	551586	10314	3584	53869
PHP14P29_L4I1	588150	10917	3823	16463
PHP14P30_L4I1	585626	10840	3806	19081
REU01002_L1I4	601984	3734	1429	12206
REU01014_L4I4	547801	3481	1216	66855
REU01016_L4I4	481610	3114	993	133636
REU03004_L1I4	600221	3747	1459	13926
REU03008_L2I4	485025	3042	1026	130260
REU03010_L3I4	578949	3534	1382	35488
REU03011_L3I4	589426	3739	1376	24812
REU03012_L3I4	488992	3046	1298	126017
REU03015_L4I4	574982	3567	1425	39379
REU03026_L4I4	408092	19273	40740	151248
SAA16001_L2I3	535138	3126	1255	79834
SAA16002_L2I3	528216	3036	1203	86898
SAA16003_L2I3	564797	2860	1223	50473
SAA16004_L2I3	593352	3484	1251	21266
SAA16005_L3I4	75428	240	227	543458
SAA16006_L2I3	545072	3123	1255	69903
SAA16007_L2I3	595280	3475	1387	19211
SAA16008_L2I3	561112	3125	872	54244
SAA16009_L2I3	560220	2853	1324	54956
SAA16010_L2I3	298652	1484	330	318887
SAA16011_L2I3	534672	39119	1266	44296
SAA16012_L2I3	491042	36007	1473	90831
SAA16013_L2I3	510293	35432	609	73019
SAA16014_L2I3	476310	8045	31680	103318
SAA16015_L2I3	499086	8747	35998	75522
SAA16016_L2I3	500893	2732	1157	114571
SAA16017_L2I3	185544	1055	206	432548
SAA16018_L2I3	552936	3164	1311	61942
SAA16019_L2I3	335050	1841	296	282166
SAA16020_L2I3	577163	3332	1201	37657
SAA16021_L2I3	351986	2077	407	264883
SAA16022_L2I3	569442	3401	1327	45183
SAA16023_L2I3	583061	3519	1326	31447
SAA16024_L2I3	480572	21256	1332	116193
SAA16025_L2I3	581065	3152	1299	33837
SAA16026_L4I3	545263	3150	1220	69720
SAA16027_L4I3	406562	28286	1310	183195
SAA16029_L4I3	362962	1897	684	253810
SAA16030_L4I3	513477	3016	1058	101802
SAA16031_L4I3	534700	2734	1299	80620
SAA16032_L4I3	590606	3490	1300	23957
SAA16034_L4I4	480938	2662	1051	134702
SAA16035_L4I4	462655	2552	1050	153096
SAA16036_L4I4	463407	2428	1054	152464
SAA16038_L2I2	593458	3153	1400	21342
SAW16001_L1I2	481839	2893	1037	133584
SAW16002_L1I2	365969	6131	25865	221388
SAW16003_L1I2	419390	1921	986	197056
SAW16004_L1I2	320582	1949	534	296288
SAW16005_L1I2	502202	2771	1181	113199
SAW16007_L1I2	495264	3086	1040	119963
SAW16008_L1I2	496232	2988	1108	119025
SAW16009_L1I2	503427	3106	1097	111723
SAW16010_L1I2	397767	2069	826	218691
SAW16011_L1I2	505239	2879	1195	110040
SAW16012_L1I2	508832	3021	1172	106328
SAW16013_L1I2	454299	2466	1026	161562
SAW16014_L1I2	498878	2866	1123	116486
SAW16015_L1I2	520237	3079	1146	94891
SAW16016_L1I2	515117	3065	1184	99987
SAW16017_L1I2	443383	2364	900	172706
SAW16019_L1I2	536194	3183	1247	78729
SAW16020_L1I2	526784	3177	1244	88148
SAW16021_L1I2	346790	4275	25095	243193
